issue_description,status,priority,metadata
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-20T14:36:15.193152"", ""last_updated"": ""2025-02-10T14:36:15.193154""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-07T14:36:15.193159"", ""last_updated"": ""2025-02-10T14:36:15.193160""}"
Email notifications are not being sent to customers.,resolved,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-15T14:36:15.193165"", ""last_updated"": ""2025-02-10T14:36:15.193166""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-01T14:36:15.193171"", ""last_updated"": ""2025-02-10T14:36:15.193172""}"
"User cannot log in, receiving authentication error.",in_progress,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-29T14:36:15.193177"", ""last_updated"": ""2025-02-10T14:36:15.193179""}"
Slow loading times on the website homepage.,open,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-24T14:36:15.193183"", ""last_updated"": ""2025-02-10T14:36:15.193185""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-14T14:36:15.193189"", ""last_updated"": ""2025-02-10T14:36:15.193191""}"
Payment processing fails for international customers.,resolved,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-29T14:36:15.193196"", ""last_updated"": ""2025-02-10T14:36:15.193197""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-04T14:36:15.193202"", ""last_updated"": ""2025-02-10T14:36:15.193203""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-18T14:36:15.193328"", ""last_updated"": ""2025-02-10T14:36:15.193336""}"
Payment processing fails for international customers.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-12T14:36:15.193349"", ""last_updated"": ""2025-02-10T14:36:15.193352""}"
Slow loading times on the website homepage.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-01T14:36:15.193359"", ""last_updated"": ""2025-02-10T14:36:15.193361""}"
Application crashes when submitting a form.,in_progress,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-16T14:36:15.193366"", ""last_updated"": ""2025-02-10T14:36:15.193368""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-19T14:36:15.193373"", ""last_updated"": ""2025-02-10T14:36:15.193375""}"
Database connection errors occur randomly.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-29T14:36:15.193380"", ""last_updated"": ""2025-02-10T14:36:15.193382""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-31T14:36:15.193386"", ""last_updated"": ""2025-02-10T14:36:15.193388""}"
VPN connection drops intermittently for remote workers.,in_progress,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-15T14:36:15.193393"", ""last_updated"": ""2025-02-10T14:36:15.193394""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-18T14:36:15.193399"", ""last_updated"": ""2025-02-10T14:36:15.193401""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-13T14:36:15.193405"", ""last_updated"": ""2025-02-10T14:36:15.193407""}"
File uploads fail with unknown error message.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-31T14:36:15.193412"", ""last_updated"": ""2025-02-10T14:36:15.193413""}"
Mobile app freezes when navigating to settings.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-25T14:36:15.193418"", ""last_updated"": ""2025-02-10T14:36:15.193419""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-06T14:36:15.193424"", ""last_updated"": ""2025-02-10T14:36:15.193426""}"
Slow loading times on the website homepage.,open,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-14T14:36:15.193430"", ""last_updated"": ""2025-02-10T14:36:15.193432""}"
Database connection errors occur randomly.,in_progress,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-18T14:36:15.193437"", ""last_updated"": ""2025-02-10T14:36:15.193438""}"
Payment processing fails for international customers.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-08T14:36:15.193443"", ""last_updated"": ""2025-02-10T14:36:15.193445""}"
"User cannot log in, receiving authentication error.",open,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-21T14:36:15.193449"", ""last_updated"": ""2025-02-10T14:36:15.193451""}"
File uploads fail with unknown error message.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-18T14:36:15.193455"", ""last_updated"": ""2025-02-10T14:36:15.193457""}"
File uploads fail with unknown error message.,in_progress,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-15T14:36:15.193462"", ""last_updated"": ""2025-02-10T14:36:15.193463""}"
Application crashes when submitting a form.,open,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-10T14:36:15.193468"", ""last_updated"": ""2025-02-10T14:36:15.193470""}"
Application crashes when submitting a form.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-31T14:36:15.193474"", ""last_updated"": ""2025-02-10T14:36:15.193476""}"
Users unable to reset passwords via the portal.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-30T14:36:15.193482"", ""last_updated"": ""2025-02-10T14:36:15.193484""}"
Application crashes when submitting a form.,open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-05T14:36:15.193488"", ""last_updated"": ""2025-02-10T14:36:15.193490""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-14T14:36:15.193495"", ""last_updated"": ""2025-02-10T14:36:15.193496""}"
Database connection errors occur randomly.,open,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-09T14:36:15.193501"", ""last_updated"": ""2025-02-10T14:36:15.193502""}"
"User cannot log in, receiving authentication error.",open,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-18T14:36:15.193507"", ""last_updated"": ""2025-02-10T14:36:15.193509""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-02T14:36:15.193513"", ""last_updated"": ""2025-02-10T14:36:15.193515""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-26T14:36:15.193520"", ""last_updated"": ""2025-02-10T14:36:15.193521""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-06T14:36:15.193526"", ""last_updated"": ""2025-02-10T14:36:15.193528""}"
Application crashes when submitting a form.,open,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-28T14:36:15.193532"", ""last_updated"": ""2025-02-10T14:36:15.193534""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-19T14:36:15.193538"", ""last_updated"": ""2025-02-10T14:36:15.193540""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-05T14:36:15.193544"", ""last_updated"": ""2025-02-10T14:36:15.193546""}"
Application crashes when submitting a form.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-20T14:36:15.193550"", ""last_updated"": ""2025-02-10T14:36:15.193552""}"
Application crashes when submitting a form.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.193556"", ""last_updated"": ""2025-02-10T14:36:15.193558""}"
File uploads fail with unknown error message.,in_progress,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-02T14:36:15.193562"", ""last_updated"": ""2025-02-10T14:36:15.193564""}"
File uploads fail with unknown error message.,open,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-26T14:36:15.193568"", ""last_updated"": ""2025-02-10T14:36:15.193570""}"
Payment processing fails for international customers.,open,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-17T14:36:15.193574"", ""last_updated"": ""2025-02-10T14:36:15.193576""}"
Application crashes when submitting a form.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-19T14:36:15.193581"", ""last_updated"": ""2025-02-10T14:36:15.193582""}"
Application crashes when submitting a form.,in_progress,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-20T14:36:15.193587"", ""last_updated"": ""2025-02-10T14:36:15.193589""}"
Application crashes when submitting a form.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-01T14:36:15.193593"", ""last_updated"": ""2025-02-10T14:36:15.193595""}"
Slow loading times on the website homepage.,in_progress,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-02T14:36:15.193599"", ""last_updated"": ""2025-02-10T14:36:15.193601""}"
Email notifications are not being sent to customers.,in_progress,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-18T14:36:15.193606"", ""last_updated"": ""2025-02-10T14:36:15.193607""}"
Email notifications are not being sent to customers.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-16T14:36:15.193612"", ""last_updated"": ""2025-02-10T14:36:15.193614""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-26T14:36:15.193618"", ""last_updated"": ""2025-02-10T14:36:15.193620""}"
Slow loading times on the website homepage.,in_progress,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-25T14:36:15.193625"", ""last_updated"": ""2025-02-10T14:36:15.193626""}"
Email notifications are not being sent to customers.,open,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-04T14:36:15.193631"", ""last_updated"": ""2025-02-10T14:36:15.193632""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-29T14:36:15.193637"", ""last_updated"": ""2025-02-10T14:36:15.193639""}"
"User cannot log in, receiving authentication error.",resolved,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-13T14:36:15.193643"", ""last_updated"": ""2025-02-10T14:36:15.193645""}"
VPN connection drops intermittently for remote workers.,in_progress,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-25T14:36:15.193649"", ""last_updated"": ""2025-02-10T14:36:15.193651""}"
Payment processing fails for international customers.,in_progress,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-15T14:36:15.193655"", ""last_updated"": ""2025-02-10T14:36:15.193657""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-10T14:36:15.193661"", ""last_updated"": ""2025-02-10T14:36:15.193663""}"
Users unable to reset passwords via the portal.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-31T14:36:15.193668"", ""last_updated"": ""2025-02-10T14:36:15.193669""}"
VPN connection drops intermittently for remote workers.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-22T14:36:15.193674"", ""last_updated"": ""2025-02-10T14:36:15.193675""}"
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-22T14:36:15.193680"", ""last_updated"": ""2025-02-10T14:36:15.193681""}"
Slow loading times on the website homepage.,open,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-02T14:36:15.193686"", ""last_updated"": ""2025-02-10T14:36:15.193688""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-26T14:36:15.193692"", ""last_updated"": ""2025-02-10T14:36:15.193694""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-12T14:36:15.193701"", ""last_updated"": ""2025-02-10T14:36:15.193703""}"
"User cannot log in, receiving authentication error.",in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-21T14:36:15.193708"", ""last_updated"": ""2025-02-10T14:36:15.193710""}"
"User cannot log in, receiving authentication error.",resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-12T14:36:15.193716"", ""last_updated"": ""2025-02-10T14:36:15.193718""}"
Email notifications are not being sent to customers.,open,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-12T14:36:15.193723"", ""last_updated"": ""2025-02-10T14:36:15.193724""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-20T14:36:15.193729"", ""last_updated"": ""2025-02-10T14:36:15.193731""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-29T14:36:15.193735"", ""last_updated"": ""2025-02-10T14:36:15.193737""}"
Email notifications are not being sent to customers.,open,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-13T14:36:15.193742"", ""last_updated"": ""2025-02-10T14:36:15.193743""}"
Mobile app freezes when navigating to settings.,open,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-06T14:36:15.193748"", ""last_updated"": ""2025-02-10T14:36:15.193749""}"
